Velocidad [RPM],Voltaje[V],Corriente[A],Temperatura[°C],Latitud,Longitud,Velocidad[GPS: km/h],Satelites, Altitud, Hora, Minutos, Year
0.00,58.50625330,3.39583096,30.26493638,4.796132167000000,-75.687849499999995,1.14824000,0.00,0.00000000,15,53,2024
60.00,56.36071265,4.80998128,67.44411126,4.796123833000001,-75.687848833000002,1.01860000,5.00,1477.80000000,15,53,2024
120.00,58.11645532,0.04827169,59.97216849,4.796106167000000,-75.687854999999997,2.55576000,5.00,1478.40000000,15,53,2024
180.00,58.05591555,0.16690458,30.35585362,4.796093667000000,-75.687864833000002,1.79644000,5.00,1479.10000000,15,54,2024
60.00,56.40697309,8.42206439,65.27119677,4.796096500000000,-75.687865166999994,0.31484000,5.00,1479.90000000,15,54,2024
240.00,53.59228192,13.15119914,49.83874718,4.796066500000001,-75.687882666999994,4.51888000,5.00,1480.40000000,15,54,2024
480.00,55.10590113,10.61618789,38.59093725,4.796060500000001,-75.687953832999994,8.83404000,5.00,1483.30000000,15,54,2024
600.00,56.79455630,2.49172386,43.83005809,4.796033500000000,-75.688038332999996,13.03808000,5.00,1484.30000000,15,54,2024
720.00,56.12328906,4.46647076,42.51776588,4.795973000000000,-75.688135333000001,13.72332000,5.00,1485.90000000,15,54,2024
840.00,57.42470266,-0.00462526,36.66341655,4.795914000000000,-75.688235500000002,9.92672000,5.00,1485.40000000,15,54,2024
420.00,57.64524445,0.00000000,42.59544863,4.795853167000000,-75.688278166999989,11.74168000,5.00,1485.50000000,15,54,2024
540.00,56.41608168,13.12409322,47.35868315,4.795811333000000,-75.688348000000003,10.01932000,5.00,1485.00000000,15,54,2024
780.00,57.71543054,-0.00613556,30.64427564,4.795721833000000,-75.688464832999997,12.13060000,5.00,1483.80000000,15,54,2024
660.00,57.82249813,0.00000000,30.55947096,4.795668667000001,-75.688518166999996,5.96344000,5.00,1484.20000000,15,54,2024
360.00,57.81839095,0.21010180,30.60135306,4.795633167000000,-75.688535166999999,5.37080000,5.00,1486.80000000,15,54,2024
1440.00,56.75429102,5.06706526,46.05205365,4.795616000000000,-75.688578000000008,2.18536000,5.00,1494.50000000,15,54,2024
480.00,52.89423107,16.05086657,33.35343167,4.795607000000001,-75.688608666999996,1.37048000,5.00,1494.90000000,15,54,2024
600.00,52.57484201,15.98708203,29.79907804,4.795523000000001,-75.688673832999997,6.79684000,3.00,1489.40000000,15,54,2024
480.00,55.31025185,0.25017093,22.13249852,4.795587833000000,-75.688770000000005,8.77848000,3.00,1490.10000000,15,54,2024
1020.00,57.12657144,-0.00570983,54.60493897,4.795503000000000,-75.688998833000002,15.48272000,5.00,1496.10000000,15,54,2024
780.00,57.32193536,0.00000000,30.58186661,4.795582333000001,-75.689152500000007,11.76020000,5.00,1497.30000000,15,54,2024
660.00,57.43551948,-0.00380171,30.69308901,4.795598000000000,-75.689305999999998,15.57532000,5.00,1500.70000000,15,54,2024
720.00,57.51902980,0.00000000,30.67596831,4.795625000000001,-75.689442666999990,13.81592000,4.00,1502.60000000,15,55,2024
360.00,57.45319153,5.85190157,67.27940999,4.795578500000000,-75.689521833000004,6.87092000,5.00,1498.80000000,15,55,2024
180.00,57.51633673,0.01905386,39.94855930,4.795606667000001,-75.689553667000000,4.27812000,5.00,1499.60000000,15,55,2024
0.00,55.24886538,2.94992960,59.99040422,4.795623167000001,-75.689592332999993,0.98156000,5.00,1498.50000000,15,55,2024
240.00,57.36937373,0.03475014,31.31969863,4.795652500000000,-75.689611499999998,1.44456000,5.00,1498.20000000,15,55,2024
