Velocidad [RPM],Voltaje[V],Corriente[A],Temperatura[°C],Latitud,Longitud,Velocidad[GPS: km/h],Satelites, Altitud, Hora, Minutos, Year
0.00,52.43612012,0.06361063,39.93687786,0.000000000000000,0.000000000000000,0.00000000,0.00,0.00000000,0,0,0
0.00,51.82324622,0.08427612,39.94890635,4.794352167000000,-75.691737833000001,0.11112000,10.00,1477.60000000,21,5,2024
0.00,52.42701004,0.06895672,39.95496436,4.794352167000000,-75.691737833000001,0.11112000,10.00,1477.60000000,21,5,2024
0.00,52.42570732,0.06747712,39.96036115,4.794351167000001,-75.691736667000002,0.12964000,11.00,1477.30000000,21,5,2024
0.00,52.42514435,0.05825059,39.95557987,4.794351167000001,-75.691736667000002,0.12964000,11.00,1477.30000000,21,5,2024
0.00,52.42724028,0.06152664,39.96902869,4.794351500000001,-75.691736332999992,0.03704000,11.00,1477.10000000,21,5,2024
0.00,52.43045324,0.07033302,39.96998420,4.794351500000001,-75.691736332999992,0.03704000,11.00,1477.10000000,21,5,2024
0.00,52.42812262,0.66316663,39.97322964,4.794352333000000,-75.691736000000009,0.05556000,11.00,1477.10000000,21,5,2024
0.00,50.81976035,3.47606274,40.46089848,4.794352333000000,-75.691736000000009,0.05556000,11.00,1477.10000000,21,5,2024
60.00,51.59489558,12.16313056,40.02899464,4.794355667000000,-75.691723333000000,4.74112000,10.00,1477.00000000,21,5,2024
120.00,52.19188588,0.40771579,40.07145919,4.794355667000000,-75.691723333000000,4.74112000,10.00,1477.00000000,21,5,2024
180.00,52.31430231,0.12060160,39.97557980,4.794381667000000,-75.691643499999994,8.87108000,11.00,1476.70000000,21,5,2024
180.00,52.26516610,6.32831192,39.99154905,4.794381667000000,-75.691643499999994,8.87108000,11.00,1476.70000000,21,5,2024
240.00,52.12381205,0.51452587,40.00394797,4.794426500000001,-75.691579833000002,10.01932000,11.00,1476.00000000,21,5,2024
240.00,52.34131467,0.04968568,40.01771387,4.794426500000001,-75.691579833000002,10.01932000,11.00,1476.00000000,21,5,2024
240.00,51.84693719,15.61676290,40.03435147,4.794495500000000,-75.691526499999994,11.37128000,11.00,1475.60000000,21,5,2024
240.00,49.23529997,12.50509449,40.22946451,4.794495500000000,-75.691526499999994,11.37128000,11.00,1475.60000000,21,5,2024
180.00,49.46086991,11.84836747,40.05939150,4.794562333000000,-75.691478500000002,18.29776000,11.00,1475.50000000,21,5,2024
240.00,50.67873457,5.25914892,40.03226897,4.794609500000000,-75.691455166999999,18.29776000,11.00,1475.30000000,21,5,2024
240.00,51.69696027,0.54504463,40.04819096,4.794718167000000,-75.691445832999999,22.00176000,11.00,1475.50000000,21,5,2024
240.00,52.11276201,0.03934666,40.06336142,4.794771000000000,-75.691461000000002,22.00176000,11.00,1476.00000000,21,5,2024
240.00,52.15448746,0.03977239,40.12138349,4.794879167000001,-75.691479333000000,22.53884000,11.00,1477.10000000,21,5,2024
240.00,51.98955979,2.55774734,40.06843043,4.794934333000001,-75.691475499999993,22.53884000,8.00,1476.90000000,21,5,2024
240.00,51.27285504,5.73938807,40.06308848,4.795034500000000,-75.691453167000002,19.89048000,10.00,1476.80000000,21,5,2024
240.00,51.47204986,4.94526521,40.07699064,4.795094333000000,-75.691437500000002,19.89048000,9.00,1476.40000000,21,5,2024
240.00,51.47391703,0.07159208,40.15382183,4.795181000000001,-75.691382499999999,22.29808000,8.00,1477.30000000,21,5,2024
240.00,52.14042053,0.10725313,40.16112270,4.795241000000000,-75.691353667000003,22.29808000,9.00,1476.30000000,21,5,2024
240.00,51.15524691,4.52684804,40.10738387,4.795317833000001,-75.691313167000000,15.09380000,11.00,1474.60000000,21,5,2024
240.00,51.60727804,2.06470410,40.11501773,4.795362000000000,-75.691279167000002,15.09380000,11.00,1475.70000000,21,5,2024
240.00,51.80116991,1.33827973,40.17004130,4.795488833000001,-75.691228832999994,26.05764000,9.00,1469.50000000,21,5,2024
300.00,51.98142266,0.04152836,40.09668312,4.795546833000000,-75.691201667000003,26.05764000,10.00,1468.40000000,21,5,2024
240.00,52.15321148,0.13553156,40.10337907,4.795663500000000,-75.691147000000000,25.70576000,7.00,1468.10000000,21,5,2024
240.00,51.91866663,0.69543578,40.10130972,4.795719167000000,-75.691117500000002,25.70576000,8.00,1469.40000000,21,5,2024
300.00,52.06328415,0.54723331,40.13227424,4.795880667000001,-75.691084666999994,27.70592000,9.00,1465.00000000,21,5,2024
240.00,52.07248336,0.58030507,40.13096091,4.795943333000001,-75.691060500000002,27.70592000,9.00,1464.40000000,21,5,2024
300.00,52.09011678,0.13492576,40.14346268,4.796079667000000,-75.691015166999999,31.42844000,9.00,1462.10000000,21,5,2024
240.00,52.20171193,0.07239469,40.18640262,4.796127000000001,-75.690991999999992,31.42844000,9.00,1462.30000000,21,5,2024
240.00,52.20267003,0.06154199,40.18104966,4.796240333000000,-75.690931167000004,24.72420000,9.00,1460.60000000,21,5,2024
300.00,52.20883600,0.06793357,40.11508340,4.796276333000000,-75.690888999999996,24.72420000,7.00,1458.60000000,21,6,2024
180.00,52.22287322,0.83231236,40.09935607,4.796334500000001,-75.690820667000000,13.96408000,9.00,1458.00000000,21,6,2024
300.00,50.58266503,13.90328752,40.45739557,4.796349833000000,-75.690798833000005,13.96408000,9.00,1461.50000000,21,6,2024
